SMILES,ID,target_class,MW,XLogP
c1ccc(cc1)[C@@H](C(=O)NCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)NCCN3CCCCC3,209267,gpcr,487.48,5.53
CC1(OC[C@@H]([C@@H](O1)c2ccccc2)NC(=O)Oc3ccccc3Cl)C,362742,gpcr,361.82,4.72
CCCC(C1CCN(CC1)CCC(CN(C)C(=O)c2ccccc2)c3ccc(c(c3)Cl)Cl)O,56788,gpcr,491.49,6.68
Cc1cn(c2c1cc(cc2/C=C/C(=O)NS(=O)(=O)c3cc(c(s3)Cl)Cl)F)Cc4ccc(cc4)F,482390,gpcr,541.42,8.55
c1ccc(cc1)c2nc(c(n2Cc3ccc(cc3)c4ccccc4C(=O)O)CO)Cl,313173,gpcr,418.87,6.25
c1ccc2c(c1)c(cn2CCN3CCOCC3)C(=O)c4cccc5c4cco5,80337,gpcr,374.43,4.83
c1ccc(cc1)CN2CCN(CC2)C[C@@H](COCc3ccccc3)NC(=O)C45C[C@H]6C[C@@H](C4)C[C@H](C6)C5.Cl.Cl,539052,gpcr,574.62,6.91
CC([C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)Cc3ccccc3)Cc4c[nH]c5c4cccc5)Cc6cccc7c6cccc7)Cc8ccccc8)O,309543,gpcr,876.01,5.51
CCc1cc(c(c(c1Cl)C(=O)NC[C@@H]2CCCN2CC)OC)O,1276560,gpcr,340.85,3.1
Cc1cc(c(n1Cc2ccc3c(c2)OCO3)C)C(=O)CN4C(=O)CCC4=O,1397907,gpcr,368.38,3.25
c1ccc(cc1)COC(=O)N2CCc3c(sc(c3C(=O)c4ccc(cc4)Br)N)C2,291767,gpcr,471.37,5.64
C[N+](C)(CCCCCC[N+](C)(C)CC#CCN1C(=O)CCO1)CCCN2C(=O)c3ccccc3C2=O,1181949,gpcr,498.66,2.5
CC(C)S(=O)(=O)NCCNCC(COc1ccccc1)O.C(=C/O)\O,24277,gpcr,376.47,-0.43
CC(=O)O[C@H]1C[C@H]([C@@]2(CC[C@H]3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)c4ccoc4)C)COC(=O)CC#C,218235,gpcr,470.51,4.02
CC(C)OC(=O)[C@H]1CC2CC(CC1N2C)OC(c3ccc(cc3)F)c4ccc(cc4)F,112848,gpcr,429.5,5.69
c1ccc(cc1)Nc2cc(c3ccccc3n2)NC(=O)C4CCCCC4,472726,gpcr,345.44,5.2
c1cc(ccc1F)S(=O)(=O)N[C@H]2CCC(=O)[C@@H]2C/C=C\CCCC(=O)O,441510,gpcr,383.43,2.79
C1CCC(CC1)CNC(=O)N2CCC[C@H]2CN3CCCC3,216708,gpcr,293.45,2.95
CCN(c1nnc(s1)Cn2c3ccccc3nn2)C(=O)c4ccc(cc4)C(C)(C)C,1307319,gpcr,420.53,6.64
COc1cccc(c1)Cn2cnc3c2C[C@H](N(C3)C(=O)C(c4ccccc4)c5ccccc5)C(=O)O,111046,gpcr,481.54,5.04
CCOc1nc2ccccc2n1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5,340612,gpcr,396.44,7.11
Cc1c(c(ncn1)C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)/C(=N\OC)/c4ccc(cc4)Br,141202,gpcr,528.48,4.48
CCCCCn1c2ccccc2c(=O)c(c1c3ccccc3)C(=O)NC45CC6CC(C4)(CC(C6)(C5)C)C,393931,gpcr,496.68,6.69
COc1cc(c2c3c1[C@@H](CCc3co2)CN)Br,116940,gpcr,296.16,3.28
CC(c1ccc(c(c1)O)OCCCN2CCC(CC2)c3c4ccc(cc4on3)F)O,14219,gpcr,414.47,3.64
CS(=O)(=O)NC(=O)c1ccc(cc1C2CCCC2)c3ccc(cc3)CCNC[C@@H](c4cccnc4)O.Cl.Cl,479727,gpcr,580.57,6.24
c1cc2c(cc1Cc3nc(no3)N)c(c[nH]2)CCN,37317,gpcr,257.29,2.07
Cc1cccc(c1C)N2CCN(CC2)CCCNC(=O)c3cc(n(c3C)C)c4ccccc4,1081644,gpcr,444.61,5.03
c1cc2c(cc1c3ccc(cn3)C(=O)N4CCOCC4)cc(o2)CCN5CCCCCC5,159858,gpcr,433.54,4.24
C[C@H]1c2c(cccc2Cl)N=C(N1)NCC(F)F,541993,gpcr,259.68,2.72
c1ccc(cc1)OC(=O)NC2C(=O)N(c3ccccc3N(C2=O)C4CCCCC4)CC56CC7CC(C5)CC(C7)C6,318569,gpcr,541.68,6.61
CCOc1cc(ccc1O)CNc2ccccc2SC,1460466,gpcr,289.39,3.98
CN1CCC=C(C1)c2c(nsn2)OCCOCCOc3c(nsn3)C4=CCCN(C4)C,142766,gpcr,464.6,1.3
Cc1ccccc1c2c[nH]c(n2)c3cccnc3,332582,gpcr,235.28,3.44
CCCCc1nc(c(n1Cc2ccc(cc2)c3cc(ccc3c4n[nH]nn4)OC)CO)Cl,85435,gpcr,452.94,6.67
CC(=O)O[C@H]1C[C@H]([C@@]2(CC[C@H]3C(=O)O[C@@H](C[C@@]3([C@H]2[C@H]1O)C)c4ccoc4)C)C(=O)OC,237054,gpcr,434.48,3.03
CCc1nnc2n1c3cc(ccc3nc2NC(C)C)Cl,72177,gpcr,289.76,4.18
Cc1cc(cc(c1C[C@@H]([C@H](C/C=C/[C@@H]([C@@H](Cc2ccccc2)C(=O)NCCc3ccccc3)O)O)N)C)O,1161430,gpcr,516.67,4.27
COC(=O)[C@H](c1ccc(cc1)c2ccccc2)[C@H]3CCCCN3,1183467,gpcr,309.4,4.5
c1ccc2c(c1)Cc3ccccc3C4(C2)CCC(C4)N5CC(C5)CC(=O)O,1277034,gpcr,361.48,4.94
CCCCN1CCN(CC1)C(COCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)c3ccccc3,336251,gpcr,488.51,6.53
CC(C)c1nc(on1)C2CNC=NC2.C(=O)(C(F)(F)F)O,21733,gpcr,308.26,1.01
c1ccc(cc1)C#CC2O[C@@H]3[C@H](O[C@H]([C@@H]3O2)n4cnc5c4ncnc5NC(=O)Nc6ccccc6)COP(=O)(O)O,1162164,gpcr,578.47,2.42
c1ccc2c(c1)cc([nH]2)C3CCN(CC3)CC[C@H]4CCCN4S(=O)(=O)c5ccc6cc[nH]c6c5,331803,gpcr,476.63,5.5
COc1ccccc1N2CCN(CC2)CCCCCNC(=O)c3ccc(cc3)C#Cc4ccccc4,241438,gpcr,481.63,6.22
Cc1cc(ccc1F)C(=O)NCN2CCC(CC2)c3cccc[n+]3[O-],219186,gpcr,343.4,4.05
CN1CCC=C(C1)C2CN(CCO2)C(=S)Nc3ccccc3F,513665,gpcr,335.44,2.15
Cc1cccc(c1)CNc2c(cncn2)c3ccccc3OC,522311,gpcr,305.37,3.99
c1ccc(cc1)OC(=O)N2CCC3(CCCN(C3)c4ccncc4)CC2,1473754,gpcr,351.44,3.25
C[C@H]1CN([C@@H](CN1[C@H](c2cccc(c2)C(=O)N(C)c3ccc(cc3)Cl)c4cccc(c4)O)C)CC=C,155797,gpcr,504.06,6.68
CC(C)(C(=O)N[C@H](COCc1ccccc1)c2nnnn2CCCC(=O)NCCCCCCO)N,411259,gpcr,489.61,1.46
C=C1C2=C(C3[C@@]45CCN([C@@H](C4(C2)O)Cc6c5c(c(cc6)O)O3)CC7CC7)OC1=O,611392,gpcr,393.43,2.56
CCCC(=O)NOCc1cccc2c1cc(cc2)OC,441664,gpcr,273.33,3.94
c1cc(ccc1COC[C@H](Cc2c[nH]cn2)N)I.c1c(nc[nH]1)CCN,283943,gpcr,468.34,2.51
c1cc(oc1)CN2C(=O)c3ccc(cc3C2=O)S(=O)(=O)c4ccc(cc4)C(=O)O,1300164,gpcr,411.38,2.62
Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NCCc3ccccn3)c4cccc(c4)OC,23337,gpcr,520.57,2.18
CC(=O)N1CCC(CC1)N(C)C(=O)N[C@@H]2CC[C@@H](CC2)c3ccccc3,272062,gpcr,357.49,3.89
CSC(=N)Nc1ccc2c(c1)c3c([nH]2)[C@H]4[C@@]56CCN(C([C@@]5(C3)O)Cc7c6c(c(cc7)O)O4)CC8CC8,93769,gpcr,502.63,4.64
c1ccnc(c1)C(CCNC(=N)CCCCc2c[nH]cn2)c3ccc(cc3)F,292509,gpcr,379.47,4.35
c1cc(cnc1)N2C(=O)/C(=C\c3ccc(cc3)O)/SC2=S,1456232,gpcr,314.38,3.05
c1cc(cc(c1)[N+](=O)[O-])c2csc(c2C(=O)c3ccc(cc3)Cl)N,556079,gpcr,358.8,5.55
c1cc(ccc1NCC(CON=C(C2CC2)C3CC3)O)[N+](=O)[O-],289309,gpcr,319.36,2.29
COc1ccccc1C(CNCCc2cc(cc(c2)Cl)Cl)N3CCN(CC3)C4CCCCC4,364047,gpcr,490.51,6.14
c1ccc(cc1)N2CNC(=O)C23CCN(CC3)C4c5ccccc5C=Cc6c4cccc6,241067,gpcr,421.53,5.34
CCc1nc2c(n1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5)/C(=C/C(=O)O)/CCCC2,43591,gpcr,454.52,6.34
CCCN1c2c([nH]c(n2)C34CCC(CC3)(CC4)O)C5=N[C@@H](CN5C1=O)C,384279,gpcr,357.45,3.59
CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc(cc2)O)N,132307,gpcr,709.88,1.08
CC(C)n1cc2c3c1cccc3[C@@H]4C[C@@H](CN([C@H]4C2)C)C(=O)O[C@@H](C)[C@H](C)O,1533186,gpcr,384.51,4.41
CC(C)c1ccc-2c(cc(c2cc1)C(=O)O)CCCCNS(=O)(=O)c3ccc(cc3)OC,77097,gpcr,455.57,5.13
c1ccc2c(c1)CCCN3C2c4c(c5ccccc5[nH]4)CC3,216446,gpcr,288.39,4.62
CC(C)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)/C(=N/Cc3ccco3)/S,1528393,gpcr,407.55,3.26
Cc1cc(cc(c1)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cc(ns4)C)OCCC5CCCCN5)C,1184266,gpcr,551.1,6.78
C[N+]1(CC[C@]23CC(=O)CC[C@]2([C@H]1Cc4c3c(c(cc4)C(=O)N)O)O)CC5CC5,1187601,gpcr,385.48,1.43
CCCc1nc2c(cc(nc2n1Cc3ccc(cc3)C4c5ccccc5C(C4C(=O)O)(CC)O)C)C,384168,gpcr,483.6,6.18
c1ccc(cc1)C[C@@H](C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccc(cc3)O)N,325230,gpcr,424.49,1.27
c1c(c2c(=O)[nH]c(nc2oc1=O)C(F)F)CCCCC3CC3,1672741,gpcr,310.3,0.65
Cc1c(c(nc(n1)SCC(=O)N2CCN(CC2)c3ccccc3OC)O)Cc4ccccc4,1505567,gpcr,464.58,4.21
CCCCN1C(=O)[C@@H](NC(=O)C12CCN(CC2)Cc3c(oc(n3)c4ccccc4)C)CC5CCCCC5.Cl,1173645,gpcr,543.14,7.14
CCN(CC)CCNC(=O)c1cc(c(cc1OCC2OCCO2)N)Cl,289229,gpcr,371.86,1.54
COc1ccc(cc1)CN2c3c(ccc(c3C(=O)C2=O)Cl)Cl,466852,gpcr,336.17,4.03
c1ccc(cc1)CN2CCCC(C2)c3cc(n[nH]3)c4ccc(cc4)Cl,80833,gpcr,351.87,6.01
Cc1ccc(cc1OCc2nc(cc(=O)n2C)N3CCNCC3)Cl,578365,gpcr,348.83,1.4
CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(c3ccccc3)c4ccccc4)NC(=O)C,431433,gpcr,939.11,2.18
CCN(CC)CCNC(=O)c1cc(c(cc1OCc2cc(no2)C)N)Cl,41321,gpcr,380.87,1.81
CC(C)[C@@]1(CC[C@H](C1)NC2CCOCC2F)C(=O)N3C[C@@H]4C[C@H]3CN4C(=O)OC5CCCC5,1684712,gpcr,465.6,3.34
c1cc(ccc1[C@H]2C[C@@H]2CN3CCN(CC3)c4ccc(cc4)Cl)F,126792,gpcr,344.85,4.31
c1ccc(cc1)OCCNCC(COc2ccccc2)O,423847,gpcr,287.35,2.29
Cc1[nH]c-2cc(nc2c(n1)N3CCCCC3)CCc4ccccc4,138118,gpcr,320.43,4.6
CC(C)Nc1ccc2c(n1)[C@H]([C@@H]([C@H]2c3ccc4c(c3)OCO4)C(=O)O)c5ccc(cc5OC(C)CO)OC,289216,gpcr,520.57,3.78
CN1CCC23c4c5ccc(c4O[C@H]2C(=O)[C@]6(CCc7ccccc7C6)C[C@]3(C1C5)O)O,318598,gpcr,417.5,2.99
c1cc(ccc1CN)N2CCN(CC2)C(=O)COc3ccc4c(c3)c(c[nH]4)CCN,121499,gpcr,407.51,1.97
c1ccc2cc(ccc2c1)S(=O)(=O)NCCc3c[nH]cn3,301176,gpcr,301.36,2.52
C[C@]12c3c(c4ccccc4[nH]3)C[C@@]5(C16CCN([C@@H]5Cc7c6c(c(cc7)O)O2)C)OC,607232,gpcr,402.49,4.46
Cc1ccc(cc1)C(c2ccc(cc2)C)(C(C(=O)O)Oc3nc(cc(n3)OC)OC)OC,303034,gpcr,438.47,4.34
CCCC(=O)N1c2ccccc2C(=C3SC(=C(S3)C(=O)OC)C(=O)OC)C(=S)C1(C)C,1312308,gpcr,477.62,5.34
c1cc(oc1)c2nc3c4cnn(c4nc(n3n2)N)CCCc5ccc6c(c5)OC(O6)(CO)CO,282888,gpcr,463.45,3.0
C[n+]1cnc2c(c1N)ncn2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O,59366,gpcr,426.24,-0.84
c1ccc(cc1)C(=O)Nc2ccc(c3c2cccc3)S(=O)(=O)NC4CCCCC4,218503,gpcr,408.51,5.02
CCN(CC)CCCNC(=O)c1cnn(c1C(F)(F)F)c2nc(cs2)c3ccc(cc3)C,335070,gpcr,465.53,5.71
CCc1nc(on1)C2=CCCN(C2)C.C(=O)(C(=O)O)O,159273,gpcr,283.28,0.3
CCCCCn1cc(c(=O)cc1c2ccccc2)C(=O)Nc3cccc(c3)C(F)(F)F,1641951,gpcr,428.45,5.14
